Sigla;Código;Município;1991;2000;2010
AL;2709004;Tanque d'Arca;53.52;48.42;24.91
AL;2709103;Taquarana;54.62;51.08;26.61
AL;2709152;Teotônio Vilela;35.92;40.66;20.26
AL;2709202;Traipu;75.6;72.66;47.15
AL;2709301;União dos Palmares;41.99;32.85;15.38
AL;2709400;Viçosa;47.99;39.67;29.56
AM;1300029;Alvarães;46.99;33.29;30.88
AM;1300060;Amaturá;59.41;52.42;42.81
AM;1300086;Anamã;25.5;43.16;32.44
AM;1300102;Anori;27.24;37.38;32.25
AM;1300144;Apuí;31.82;43.83;16.56
AM;1300201;Atalaia do Norte;64.39;58.35;44.75
AM;1300300;Autazes;51.08;47.36;34.3
AM;1300409;Barcelos;15.19;38.04;47.37
AM;1300508;Barreirinha;42.15;49.25;46.23
AM;1300607;Benjamin Constant;76.54;45.9;28.08
AM;1300631;Beruri;49.45;50.8;43.29
AM;1300680;Boa Vista do Ramos;39.19;59.17;40.05
AM;1300706;Boca do Acre;39.03;38.79;27.28
AM;1300805;Borba;49.57;36.56;36.98
AM;1300839;Caapiranga;31;39.39;29.67
AM;1300904;Canutama;39.17;60.9;34.1
AM;1301001;Carauari;46.96;50.78;23.92
AM;1301100;Careiro;56.72;46.92;41.27
AM;1301159;Careiro da Várzea;28.21;38.56;30.36
AM;1301209;Coari;41.96;39.79;21.98
AM;1301308;Codajás;45.48;26.96;29.32
AM;1301407;Eirunepé;55.6;50.05;32.2
AM;1301506;Envira;54.8;55.64;35.87
AM;1301605;Fonte Boa;28.69;43.11;37.8
AM;1301654;Guajará;48.32;44.1;51.48
AM;1301704;Humaitá;42.11;35.48;25.86
AM;1301803;Ipixuna;68.55;68.5;39.53
AM;1301852;Iranduba;19.39;26.56;16.69
AM;1301902;Itacoatiara;26.13;28.89;17.45
AM;1301951;Itamarati;28.36;43.82;55.51
AM;1302009;Itapiranga;26.55;44.17;27.79
AM;1302108;Japurá;22.05;32.97;22.55
AM;1302207;Juruá;55.37;54.28;32.23
AM;1302306;Jutaí;50.58;67.92;40.95
AM;1302405;Lábrea;45.84;51.67;33.28
AM;1302504;Manacapuru;25.42;32.36;16.16
AM;1302553;Manaquiri;44.86;31.55;21.99
AM;1302603;Manaus;5.82;10.49;3.75
AM;1302702;Manicoré;40.79;49.2;26.72
AM;1302801;Maraã;33.99;47.22;52.14
AM;1302900;Maués;52.58;41.96;34.31
AM;1303007;Nhamundá;51.31;43.4;43.78
AM;1303106;Nova Olinda do Norte;29.26;40.06;33.18
AM;1303205;Novo Airão;39.04;28.88;30.88
AM;1303304;Novo Aripuanã;30.89;34.92;31
AM;1303403;Parintins;36.6;38.92;22.81
AM;1303502;Pauini;40.71;37.25;47.23
AM;1303536;Presidente Figueiredo;19.52;16.86;12.83
AM;1303569;Rio Preto da Eva;31;30.4;18.28
AM;1303601;Santa Isabel do Rio Negro;56.23;53.35;55.11
AM;1303700;Santo Antônio do Içá;80.14;58.57;55.83
