Sigla,Código,Município,PIB Municipal - preços de mercado (preços de 2010) (2000),PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010) (2000),PIB Municipal (valor adicionado a preços básicos) - serviços (preços de 2010) (2000),PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010) (2000),
AC,1200013,Acrelândia,62044.2714668354,4008.5602926495,37435.4773303564,18026.3423686653,
AC,1200054,Assis Brasil,24611.0041810284,1216.2875206291,19021.8082878845,3795.9648427597,
AC,1200104,Brasiléia,166654.955857386,7291.9821683772,93421.9760530982,61253.8904579596,
AC,1200138,Bujari,55008.7289620752,1961.3953492814,28020.9155523571,24269.1899772533,
AC,1200179,Capixaba,45315.2749126053,1769.4307442713,24761.7161260833,18046.9867582511,
AC,1200203,Cruzeiro do Sul,447553.87102548,32924.5596896811,348051.987921029,45611.7685296855,
AC,1200252,Epitaciolândia,102814.301938542,4276.5671352975,61260.430293567,33764.2118245382,
AC,1200302,Feijó,149566.615992204,9232.3335592421,110856.550211154,26483.7245967592,
AC,1200328,Jordão,29159.497093946,1193.8462000306,17598.6705302137,10166.2071848081,
AC,1200336,Mâncio Lima,54803.9262331094,3388.5942613387,43781.0412178448,6955.0305141011,
AC,1200344,Manoel Urbano,35878.9219599016,2104.5809526327,27845.1368711665,5325.6542886152,
AC,1200351,Marechal Thaumaturgo,39249.7952307265,2121.7601549015,28924.918586015,7867.9008153689,
AC,1200385,Plácido de Castro,128597.270846855,5640.0246603297,76161.0314828609,43780.8786813713,
AC,1200393,Porto Walter,27922.0798317616,1480.2038620272,20599.8726516661,5656.8652449453,
AC,1200401,Rio Branco,2664975.21053926,298101.055396688,2054443.92939095,73196.1788377464,
AC,1200427,Rodrigues Alves,50787.4784065929,2347.8641917002,33754.2135739668,14277.0977322334,
AC,1200435,Santa Rosa do Purus,13049.518441598,1424.887282212,10124.7445819079,1446.213422006,
AC,1200450,Senador Guiomard,145597.484339085,14123.4217539881,93366.8152374034,27317.2184052315,
AC,1200500,Sena Madureira,254143.7862649,11016.9411467267,143830.65417839,94096.4482393078,
AC,1200609,Tarauacá,170417.133430717,10441.2053532677,115944.011812754,39441.5092586734,
AC,1200708,Xapuri,96853.9066016845,4486.3385139602,62410.2155645724,27548.4807176128,
AC,1200807,Porto Acre,98186.6763375391,2926.5437012904,42741.2457329289,51591.9278502307,
AL,2700102,Água Branca,59239.1673432123,5227.0872046913,38319.1587899245,14508.7573559944,
AL,2700201,Anadia,80208.9662362163,4781.0419723809,42401.5986821338,31852.9589773322,
AL,2700300,Arapiraca,1069195.70529944,155474.159885761,684138.760789703,109587.354810949,
AL,2700409,Atalaia,181165.855534399,48571.754110399,87222.3405719516,36479.263969488,
AL,2700508,Barra de Santo Antônio,46599.2814489582,3396.6217571689,26922.8597714948,15294.0703873283,
AL,2700607,Barra de São Miguel,41773.8715342133,5624.260879851,28449.375241215,6095.912379091,
