Sigla	Código	Município	1991	2000	2010
AL	2709004	Tanque d'Arca	84.16	73.79	46.93
AL	2709103	Taquarana	80.58	72.04	49.78
AL	2709152	Teotônio Vilela	70.47	69.84	42.79
AL	2709202	Traipu	94.05	85.13	63.39
AL	2709301	União dos Palmares	73.6	62.28	36.82
AL	2709400	Viçosa	76.87	65.24	50.85
AM	1300029	Alvarães	68.13	60.14	60.76
AM	1300060	Amaturá	78.5	75.86	62.64
AM	1300086	Anamã	64.56	62.96	51.08
AM	1300102	Anori	59.72	64.86	52.29
AM	1300144	Apuí	53.97	62.45	26.84
AM	1300201	Atalaia do Norte	80.53	72.14	63.67
AM	1300300	Autazes	72.94	70.82	51.58
AM	1300409	Barcelos	48.02	52.15	60.97
AM	1300508	Barreirinha	70.39	70.46	68.75
AM	1300607	Benjamin Constant	96.13	73.35	52.87
AM	1300631	Beruri	81.75	75.31	64.14
AM	1300680	Boa Vista do Ramos	77.19	79.96	61.77
AM	1300706	Boca do Acre	71.89	61.34	49.75
AM	1300805	Borba	72.56	63.81	56.26
AM	1300839	Caapiranga	63.64	66.81	50.44
AM	1300904	Canutama	80.71	81.22	57.35
AM	1301001	Carauari	73.53	76.69	48.31
AM	1301100	Careiro	81.25	71.75	60.88
AM	1301159	Careiro da Várzea	62.53	69.32	54.97
AM	1301209	Coari	71.86	66.41	40.38
AM	1301308	Codajás	61.97	54.82	54.32
AM	1301407	Eirunepé	82.62	72.16	55.41
AM	1301506	Envira	77.83	78.69	57.67
AM	1301605	Fonte Boa	71.78	63.7	59.94
AM	1301654	Guajará	78.61	64.64	67.87
AM	1301704	Humaitá	66.9	57.94	41.89
AM	1301803	Ipixuna	88.45	85.41	68.07
AM	1301852	Iranduba	52	56.8	34.86
AM	1301902	Itacoatiara	55.2	56.69	36.6
AM	1301951	Itamarati	53.56	62.8	74.2
AM	1302009	Itapiranga	63.73	66.3	49.37
AM	1302108	Japurá	63.59	51.89	52.07
AM	1302207	Juruá	78.51	74.31	56.2
AM	1302306	Jutaí	71.35	82.81	62.09
AM	1302405	Lábrea	78.77	75.67	52.41
AM	1302504	Manacapuru	57.86	57.82	35.47
AM	1302553	Manaquiri	62.7	52.34	50.5
AM	1302603	Manaus	20.42	28.63	12.9
AM	1302702	Manicoré	68.6	69.59	47.59
AM	1302801	Maraã	80.17	82.09	70.9
