Sigla,Código,Município,PIB Municipal - preços de mercado (preços de 2010) (2010),PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010) (2010),PIB Municipal (valor adicionado a preços básicos) - serviços (preços de 2010) (2010),PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010) (2010),
AC,1200013,Acrelândia,187532.021,7789.309,14441.426,47610.643,
AC,1200054,Assis Brasil,54642.312,1319.734,6147.091,8971.018,
AC,1200104,Brasiléia,228256.045,14309.999,41106.334,39867.601,
AC,1200138,Bujari,138095.781,2967.997,7355.786,42108.149,
AC,1200179,Capixaba,136845.48,19178.534,10229.447,41125.3,
AC,1200203,Cruzeiro do Sul,834875.829,69820.328,275200.116,73861.295,
AC,1200252,Epitaciolândia,149948.983,12323.446,44682.026,21332.83,
AC,1200302,Feijó,264530.671,14853.672,24541.989,32449.099,
AC,1200328,Jordão,48355.219,1048.996,3740.667,5925.382,
AC,1200336,Mâncio Lima,123659.236,5591.098,11256.049,17338.575,
AC,1200344,Manoel Urbano,67533.452,1805.702,6821.727,10298.269,
AC,1200351,Marechal Thaumaturgo,113423.726,2904.589,8036.829,22887.603,
AC,1200385,Plácido de Castro,200172.753,4287.337,16952.863,40249.338,
AC,1200393,Porto Walter,86823.215,2401.661,5541.802,14991.297,
AC,1200401,Rio Branco,4311124.353,879741.7,2294596.068,74507.435,
AC,1200427,Rodrigues Alves,234732.433,6120.901,11468.465,49775.498,
AC,1200435,Santa Rosa do Purus,35735.108,873.667,6727.011,4929.441,
AC,1200450,Senador Guiomard,248192.537,16379.324,33912.93,47659,
AC,1200500,Sena Madureira,393482.77,11152.305,42200.96,66705.107,
AC,1200609,Tarauacá,291011.215,7216.734,35689.744,45545.28,
AC,1200708,Xapuri,176831.839,3802.178,14605.075,37762.819,
AC,1200807,Porto Acre,150709.733,5732.373,11558.252,38473.737,
AL,2700102,Água Branca,68395.09,2572.542,16474.727,8778.294,
AL,2700201,Anadia,73663.882,3251.843,15708.259,27178.201,
AL,2700300,Arapiraca,1881363.034,240857.575,850992.461,150570.085,
AL,2700409,Atalaia,228408.577,39855.58,55512.152,84700.326,
AL,2700508,Barra de Santo Antônio,61283.95,2845.109,13801.015,23297.045,
AL,2700607,Barra de São Miguel,51898.592,7149.306,28537.985,7420.095,
AL,2700706,Batalha,73614.271,3094.998,18755.19,8417.765,
AL,2700805,Belém,21021.611,703.922,4596.689,4762.652,
AL,2700904,Belo Monte,34572.433,5016.142,4688.248,9050.531,
AL,2701001,Boca da Mata,164059.473,45151.246,37632.463,45559.309,
AL,2701100,Branquinha,43876.509,1879.727,7181.733,29248.978,
AL,2701209,Cacimbinhas,43012.26,2133.642,7393.753,9388.904,
AL,2701308,Cajueiro,85730.399,12204.29,16264.789,17518.358,
AL,2701357,Campestre,28208.861,1090.843,5526.913,9082.75,
AL,2701407,Campo Alegre,209998.977,39403.054,34366.325,64721.78,
AL,2701506,Campo Grande,33803.764,1991.915,6795.18,4407.307,
