Sigla,Código,Município,PIB Municipal - preços de mercado (preços de 2010) (1996),PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010) (1996),PIB Municipal (valor adicionado a preços básicos) - serviços (preços de 2010) (1996),PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010) (1996),
AC,1200013,Acrelândia,26087.8720011692,792.117122335,14624.1544717856,10671.6004070486,
AC,1200054,Assis Brasil,16125.9416677203,59.381787402,12556.3154886708,3510.2443916475,
AC,1200104,Brasiléia,113246.631554966,983.6287800845,92197.5227897897,20065.4799850926,
AC,1200138,Bujari,43815.4564782633,175.450238174,25540.522062857,18099.4841772324,
AC,1200179,Capixaba,30908.2283063735,1250.9889391646,17981.6002806603,11675.6390865489,
AC,1200203,Cruzeiro do Sul,235148.611219992,14354.5095338002,157439.672315015,63354.4293711789,
AC,1200252,Epitaciolândia,73350.7991504668,511.669772342,59434.89294177,13404.2364363547,
AC,1200302,Feijó,74274.2883276267,260.6395255576,27508.7265756535,46504.9222264155,
AC,1200328,Jordão,14216.9493956247,0.9542841145,5375.644584202,8840.350527308,
AC,1200336,Mâncio Lima,41013.7158526449,36.5332475143,18374.5234959239,22602.6591092069,
AC,1200344,Manoel Urbano,23845.0266631852,121.0036371784,10009.7531633226,13714.2698626842,
AC,1200351,Marechal Thaumaturgo,29104.2247838452,9.1216473935,16775.0519795774,12320.0511568744,
AC,1200385,Plácido de Castro,53411.1457907338,5052.6310737975,29355.5685536132,19002.946163323,
AC,1200393,Porto Walter,20414.3961229555,13.0419152142,10703.7411258452,9697.613081896,
AC,1200401,Rio Branco,2758457.57973663,658128.563818609,2031656.02302777,68672.9928902539,
AC,1200427,Rodrigues Alves,76655.6337856564,26.7648824503,18360.2535013587,58268.6154018475,
AC,1200435,Santa Rosa do Purus,3803.7387640696,14.7886183771,2820.2537899159,968.6963557768,
AC,1200450,Senador Guiomard,72751.9902758998,5737.4157817171,36853.2539137042,30161.3205804784,
AC,1200500,Sena Madureira,80429.7970184333,957.0650935735,52005.0602672281,27467.6716576319,
AC,1200609,Tarauacá,71029.3204748769,5135.0117936928,40995.6440318771,24898.6646493067,
AC,1200708,Xapuri,117348.999337653,10932.3621074169,81843.589263779,24573.0479664578,
AC,1200807,Porto Acre,88495.5652810944,2719.4148387993,51389.8411618534,34386.3092804415,
AL,2700102,Água Branca,37069.2072440215,251.569923128,14942.3078823769,21875.3294385164,
AL,2700201,Anadia,53683.6956220793,202.2391347774,23793.5473227403,29687.9091645618,
AL,2700300,Arapiraca,592860.324281061,54871.4254703606,478751.331194155,59237.567616545,
AL,2700409,Atalaia,140413.17768842,34115.5107633623,43136.1262148122,63161.5407102462,
AL,2700508,Barra de Santo Antônio,24572.4247037229,397.9798614135,11593.702410557,12580.7424317524,
AL,2700607,Barra de São Miguel,16312.8128550992,499.6350432734,12205.9194415489,3607.2583702766,
AL,2700706,Batalha,56033.7915676013,2885.2822631649,24198.5117493167,28949.9975551195,
AL,2700805,Belém,47076.427289809,6681.7876040533,23440.3076239963,16954.3320617593,
AL,2700904,Belo Monte,17765.1068788739,736.3063151631,2952.2151594227,14076.5854042879,
AL,2701001,Boca da Mata,129631.920868981,62410.951746118,29874.2900637206,37346.679059143,
AL,2701100,Branquinha,27612.8079179279,48.8683187426,6374.963783857,21188.9758153283,
AL,2701209,Cacimbinhas,34248.4067945749,129.167618545,14923.1098726392,19196.1293033907,
AL,2701308,Cajueiro,52168.5155189244,25374.1314446106,18083.1167861858,8711.267288128,
AL,2701357,Campestre,,,,,
