Sigla,Código,Município,PIB Municipal - preços de mercado (preços de 2010) (2020),PIB Municipal (valor adicionado a preços básicos) - indústria (preços de 2010) (2020),PIB Municipal (valor adicionado a preços básicos) - serviços (preços de 2010) (2020),PIB Municipal (valor adicionado a preços básicos) - agropecuária (preços de 2010) (2020),
AC,1200013,Acrelândia,,8698.654765491,44362.5671566058,41375.4923138673,
AC,1200054,Assis Brasil,,1782.8999397118,8845.1216852186,8784.1867966966,
AC,1200104,Brasiléia,,20813.6897511734,76361.875462676,37150.953352621,
AC,1200138,Bujari,,3182.6083266965,16221.3225746369,37084.0139470897,
AC,1200179,Capixaba,,1847.5051873467,12330.2147946944,15452.6323708489,
AC,1200203,Cruzeiro do Sul,,72463.0324360806,331736.071786428,29740.9702224855,
AC,1200252,Epitaciolândia,,10392.0340944245,107879.011040856,16434.607673054,
AC,1200302,Feijó,,7942.0628922794,50605.0308088215,20061.1898250648,
AC,1200328,Jordão,,1182.525087935,6910.4652224218,2560.6020603307,
AC,1200336,Mâncio Lima,,6130.5815598412,27874.3555718129,14728.3187678482,
AC,1200344,Manoel Urbano,,8360.9692797067,15631.2103326886,10666.4148151673,
AC,1200351,Marechal Thaumaturgo,,3218.5980865558,16584.8012357853,14335.9112691857,
AC,1200385,Plácido de Castro,,5182.3841688234,34805.3687439248,19628.3959287617,
AC,1200393,Porto Walter,,1985.2881521458,10937.7340169626,7080.9664459246,
AC,1200401,Rio Branco,,440182.026671471,2520443.5637408,61305.6148164556,
AC,1200427,Rodrigues Alves,,3060.2482303727,15055.1777225128,15329.6596460208,
AC,1200435,Santa Rosa do Purus,,1277.3098660815,6786.8170909035,6816.5441855233,
AC,1200450,Senador Guiomard,,7935.5859153016,60046.8050323433,24832.4840318026,
AC,1200500,Sena Madureira,,13476.2435677524,76605.6453234744,51943.1743606597,
AC,1200609,Tarauacá,,10349.6820901342,73825.413779607,26596.2636843634,
AC,1200708,Xapuri,,11225.693767564,34049.5345384746,33639.0788525436,
AC,1200807,Porto Acre,,4056.080734743,18846.3323477932,36731.3461225144,
AL,2700102,Água Branca,,3983.0301975245,21969.3831177198,9141.7053185189,
AL,2700201,Anadia,,5610.1341626004,22831.9905700674,48912.8188294319,
AL,2700300,Arapiraca,,239488.685089572,1295596.42807521,490369.242134441,
AL,2700409,Atalaia,,24207.078001953,97958.5049834649,328340.626467676,
AL,2700508,Barra de Santo Antônio,,3069.302901313,20878.9833940887,42991.9754005017,
AL,2700607,Barra de São Miguel,,10227.0757517878,54206.9963352634,27083.5355162874,
AL,2700706,Batalha,,6660.5100867339,32172.8818723456,11599.5779130332,
AL,2700805,Belém,,1880.8885701067,8959.8342078733,70821.7362714505,
AL,2700904,Belo Monte,,9266.0380569787,7924.8378569144,25561.7338402691,
AL,2701001,Boca da Mata,,22148.4854938886,43749.6539857597,100926.744746845,
AL,2701100,Branquinha,,5673.3999618713,25188.2831889977,311016.521713421,
AL,2701209,Cacimbinhas,,2425.3740594615,13924.8353780727,15056.8029198611,
AL,2701308,Cajueiro,,2596.9408885516,23843.2989796563,16910.1324075282,
AL,2701357,Campestre,,726.0578624259,6577.3154605722,7055.6045999931,
AL,2701407,Campo Alegre,,49390.8427851363,67115.56923897,53274.0632436822,
AL,2701506,Campo Grande,,2930.562027987,10078.5999301099,7107.105983694,
AL,2701605,Canapi,,2028.6186302309,15751.1848579465,7002.3930519165,
AL,2701704,Capela,,3438.0771189227,28115.273895872,30678.5175107339,
AL,2701803,Carneiros,,1222.9315096522,8807.3546532674,2404.5289957707,
AL,2701902,Chã Preta,,1311.2625820451,7804.941804389,45251.2167322963,
AL,2702009,Coité do Nóia,,1893.4875025968,13757.0606761286,36897.9805344776,
AL,2702108,Colônia Leopoldina,,12059.186753796,31111.9711191807,99755.4445067961,
AL,2702207,Coqueiro Seco,,1156.8222915109,6938.1698853099,15294.3885881524,
AL,2702306,Coruripe,,217399.45895607,182823.875149642,296445.547268398,
AL,2702355,Craíbas,,26696.0285044676,34720.7967860112,42014.4421961437,
